劳动教养	lao dong jiao yang 
证据规则	zheng ju gui ze 
出庭	chu ting 
证人	zheng ren 
强制	qiang zhi 
体现	ti xian 
构成	gou cheng 
信用证	xin yong zheng 
撤消	che xiao 
不可	bu ke 
条款	tiao kuan 
取消	qu xiao 
保证	bao zheng 
诉讼时效	su song shi xiao 
起算	qi suan 
审计法	shen ji fa 
参赌	can du 
赌博罪	du bo zui 
行为人	xing wei ren 
诱骗	you pian 
论处	lun chu 
圈套	quan tao 
赌博	du bo 
获取	huo qu 
限制	xian zhi 
只能	zhi neng 
方式	fang shi 
罪刑	zui xing 
需报	xu bao 
备案	bei an 
生效	sheng xiao 
守法	shou fa 
出庭作证	chu ting zuo zheng 
败诉	bai su 
先行	xian xing 
支出	zhi chu 
支付	zhi fu 
事实	shi shi 
涉及	she ji 
另案	ling an 
案件材料	an jian cai liao 
行政案件	xing zheng an jian 
关联性	guan lian xing 
司法机关	si fa ji guan 
移交	yi jiao 
主体工程	zhu ti gong cheng 
建设项目	jian she xiang mu 
防治	fang zhi 
设施	she shi 
鼓励	gu li 
举办	ju ban 
力量	li liang 
劫取	jie qu 
被害人	bei hai ren 
放手	fang shou 
财物	cai wu 
认定	ren ding 
夺取	duo qu 
采用	cai yong 
要带头	yao dai tou 
法律法规	fa lv fa gui 
权益	quan yi 
平均工资	ping jun gong zi 
监事	jian shi 
管理人员	guan li ren yuan 
职工	zhi gong 
董事	dong shi 
不合理	bu he li 
学者	xue zhe 
历史	li shi 
出让	chu rang 
权利能力	quan li neng li 
行为能力	xing wei neng li 
领导	ling dao 
发放贷款	fa fang dai kuan 
遵守	zun shou 
居住地	ju zhu di 
两地	liang di 
内地	nei di 
組织	zu zhi 
公司法	gong si fa 
公告	gong gao 
届满	jie man 
期限	qi xian 
执行程序	zhi xing cheng xu 
事项	shi xiang 
法定程序	fa ding cheng xu 
修改	xiu gai 
负责	fu ze 
劳动者	lao dong zhe 
选择	xuan ze 
国际惯例	guo ji guan li 
原告	yuan gao 
中止	zhong zhi 
无人	wu ren 
继续	ji xu 
君主	jun zhu 
权力	quan li 
语言	yu yan 
解除	jie chu 
主管人员	zhu guan ren yuan 
责任人员	ze ren ren yuan 
行政处分	xing zheng chu fen 
给予	ji yu 
成年人	cheng nian ren 
犯罪案件	fan zui an jian 
办理	ban li 
拒绝	ju jue 
刑律	xing lv 
体例	ti li 
源于	yuan yu 
少于	shao yu 
注册资本	zhu ce zi ben 
派遣	pai qian 
人民币	ren min bi 
刑法	xing fa 
参与	can yu 
罚款	fa kuan 
委托书	wei tuo shu 
代理	dai li 
合并	he bing 
决议	jue yi 
减少	jian shao 
抽象	chou xiang 
成文宪法	cheng wen xian fa 
仲裁员	zhong cai yuan 
选定	xuan ding 
少征	shao zheng 
不征	bu zheng 
立案侦查	li an zhen cha 
税款	shui kuan 
先决问题	xian jue wen ti 
院地	yuan di 
指定	zhi ding 
标的物	biao di wu 
指令	zhi ling 
水果	shui guo 
所得额	suo de e 
公益性	gong yi xing 
利润总额	li run zong e 
捐赠	juan zeng 
纳税	na shui 
扣除	kou chu 
年度	nian du 
议定书	yi ding shu 
市场经济	shi chang jing ji 
终止	zhong zhi 
能否	neng fou 
加入	jia ru 
预谋	yu mou 
制服	zhi fu 
反抗	fan kang 
提单	ti dan 
名义	ming yi 
加以	jia yi 
自首	zi shou 
交待	jiao dai 
情节	qing jie 
抗税	kang shui 
税务	shui wu 
暴力	bao li 
致使	zhi shi 
虚构	xu gou 
承认	cheng ren 
充足率	chong zu lv 
低于	di yu 
资本	zi ben 
居所	ju suo 
失踪	shi zong 
守持	shou chi 
公平正义	gong ping zheng yi 
树立	shu li 
强化	qiang hua 
羞辱	xiu ru 
含有	han you 
意思	yi si 
认罪	ren zui 
免罪	mian zui 
赃物	zang wu 
如数	ru shu 
偿还	chang huan 
律师法	lv shi fa 
见证人	jian zheng ren 
公证	gong zheng 
询问笔录	xun wen bi lu 
遗嘱	yi zhu 
承办	cheng ban 
全程	quan cheng 
签名	qian ming 
礼刑	li xing 
入刑	ru xing 
失礼	shi li 
西周时期	xi zhou shi qi 
当庭	dang ting 
附带	fu dai 
部分	bu fen 
无权	wu quan 
辩论	bian lun 
设定	she ding 
行政处罚法	xing zheng chu fa fa 
限额	xian e 
十恶	shi e 
称之为	cheng zhi wei 
开庭审理	kai ting shen li 
交换	jiao huan 
乡级	xiang ji 
讨论	tao lun 
会议	hui yi 
理论体系	li lun ti xi 
思想	si xiang 
领导集体	ling dao ji ti 
创造性地	chuang zao xing di 
证成	zheng cheng 
前提	qian ti 
证立	zheng li 
关涉	guan she 
合理性	he li xing 
限于	xian yu 
反补贴	fan bu tie 
反倾销	fan qing xiao 
管辖	guan xia 
相应	xiang ying 
构建	gou jian 
要约	yao yue 
签订合同	qian ding he tong 
愿意	yuan yi 
仿效	fang xiao 
总称	zong cheng 
基础	ji chu 
地区	di qu 
在案	zai an 
侵占	qin zhan 
集体	ji ti 
个人	ge ren 
休息	xiu xi 
送交	song jiao 
监狱	jian yu 
消极	xiao ji 
实现	shi xian 
发现	fa xian 
成为	cheng wei 
吊销	diao xiao 
营业执照	ying ye zhi zhao 
现行法	xian xing fa 
尚待	shang dai 
废止	fei zhi 
保管	bao guan 
自诉人	zi su ren 
自诉	zi su 
控诉	kong su 
合法权益	he fa quan yi 
先导	xian dao 
组织者	zu zhi zhe 
国境	guo jing 
造成	zao cheng 
声明	sheng ming 
当事国	dang shi guo 
争端	zheng duan 
武装	wu zhuang 
条约	tiao yue 
用地	yong di 
存款人	cun kuan ren 
自认	zi ren 
让步	rang bu 
调解	tiao jie 
服务提供者	fu wu ti gong zhe 
成员	cheng yuan 
总协定	zong xie ding 
国民待遇	guo min dai yu 
最惠国	zui hui guo 
待遇	dai yu 
事由	shi you 
怀疑	huai yi 
引起	yin qi 
海事	hai shi 
预防	yu fang 
期满	qi man 
承销	cheng xiao 
股票	gu piao 
纪律处分	ji lv chu fen 
法官	fa guan 
行政法	xing zheng fa 
经济法	jing ji fa 
主权	zhu quan 
获得	huo de 
学术界	xue shu jie 
分类	fen lei 
模式	mo shi 
理论	li lun 
公开审理	gong kai shen li 
试用期	shi yong qi 
无需	wu xu 
通知	tong zhi 
衡量	heng liang 
评价	ping jia 
标准	biao zhun 
收取	shou qu 
数额	shu e 
出版物	chu ban wu 
指以	zhi yi 
乘以	cheng yi 
所得	suo de 
定价	ding jia 
数量	shu liang 
管辖异议	guan xia yi yi 
驳回	bo hui 
剥夺	bo duo 
主刑	zhu xing 
假释	jia shi 
徒刑	tu xing 
附加	fu jia 
完毕	wan bi 
经营者	jing ying zhe 
广告	guang gao 
消费者	xiao fei zhe 
任期	ren qi 
即告	ji gao 
结束	jie shu 
开始	kai shi 
通则	tong ze 
风险	feng xian 
交货	jiao huo 
吸收	xi shou 
可采	ke cai 
认缴	ren jiao 
出资额	chu zi e 
缴纳	jiao na 
新增	xin zeng 
股东	gu dong 
提案	ti an 
传唤	chuan huan 
合法	he fa 
生长激素	sheng zhang ji su 
农药	nong yao 
化肥	hua fei 
植物	zhi wu 
行使职权	xing shi zhi quan 
羁押	ji ya 
民族乡	min zu xiang 
典卖	dian mai 
雇佣	gu yong 
商品经济	shang pin jing ji 
借贷	jie dai 
买卖	mai mai 
船旗	chuan qi 
无国籍	wu guo ji 
变换	bian huan 
专用发票	zhuan yong fa piao 
增值税	zeng zhi shui 
购买	gou mai 
敕令	chi ling 
汇集	hui ji 
在位	zai wei 
颁布	ban bu 
列席会议	lie xi hui yi 
常务委员会	chang wu wei yuan hui 
审议	shen yi 
邀请	yao qing 
代表	dai biao 
独立性	du li xing 
否认	fou ren 
秘密	mi mi 
任何理由	ren he li you 
追查	zhui cha 
检察机关	jian cha ji guan 
公安机关	gong an ji guan 
侵犯	qin fan 
赔偿法	pei chang fa 
财产权	cai chan quan 
补充侦查	bu chong zhen cha 
工程	gong cheng 
产业	chan ye 
框架	kuang jia 
气候变化	qi hou bian hua 
协定	xie ding 
机制	ji zhi 
整体	zheng ti 
证券	zheng quan 
保荐	bao jian 
证券公司	zheng quan gong si 
资产	zi chan 
法学	fa xue 
清算	qing suan 
债权人	zhai quan ren 
州律	zhou lv 
意艾	yi ai 
过渡性	guo du xing 
完成	wan cheng 
金融债券	jin rong zhai quan 
兑付	dui fu 
义务性	yi wu xing 
一体	yi ti 
结合	jie he 
请求权	qing qiu quan 
承担义务	cheng dan yi wu 
取决于	qu jue yu 
独立	du li 
征求意见	zheng qiu yi jian 
草案	cao an 
委托方	wei tuo fang 
结婚	jie hun 
姨兄弟	yi xiong di 
姑舅	gu jiu 
婚姻制度	hun yin zhi du 
五服	wu fu 
亲属	qin shu 
姐妹	jie mei 
批准权	pi zhun quan 
报有	bao you 
审批	shen pi 
实用新型	shi yong xin xing 
专利	zhuan li 
判例	pan li 
典型	dian xing 
尊尊	zun zun 
亲亲	qin qin 
精神	jing shen 
拘留	ju liu 
签订	qian ding 
环境保护	huan jing bao hu 
行政诉讼法	xing zheng su song fa 
利害关系	li hai guan xi 
出票	chu piao 
汇票	hui piao 
银行	yin hang 
纠纷案件	jiu fen an jian 
审判员	shen pan yuan 
专家组	zhuan jia zu 
结论	jie lun 
维持	wei chi 
程序法	cheng xu fa 
财团法人	cai tuan fa ren 
社团	she tuan 
术语	shu yu 
概念	gai nian 
终审权	zhong shen quan 
行政权	xing zheng quan 
行政区	xing zheng qu 
国防	guo fang 
外交	wai jiao 
拥有	yong you 
具备	ju bei 
进口产品	jin kou chan pin 
利润	li run 
方略	fang lve 
明确提出	ming que ti chu 
基本	ji ben 
转为	zhuan wei 
案情	an qing 
转换	zhuan huan 
恐怖活动	kong bu huo dong 
家属	jia shu 
涉嫌	she xian 
危害	wei hai 
地域	di yu 
行政长官	xing zheng zhang guan 
议员	yi yuan 
办法	ban fa 
民主自由	min zhu zi you 
颁行	ban xing 
民主	min zhu 
同类	tong lei 
实质性	shi zhi xing 
增加	zeng jia 
寄交	ji jiao 
托交	tuo jiao 
所在国	suo zai guo 
住所	zhu suo 
外国人	wai guo ren 
法律效力	fa lv xiao li 
提请	ti qing 
举行	ju xing 
占有	zhan you 
原物	yuan wu 
物权	wu quan 
返还	fan huan 
公安部队	gong an bu dui 
过半数	guo ban shu 
选区	xuan qu 
选票	xuan piao 
选民	xuan min 
候选人	hou xuan ren 
当选	dang xuan 
法律责任	fa lv ze ren 
等于	deng yu 
核心内容	he xin nei rong 
执政党	zhi zheng dang 
政策	zheng ce 
举证	ju zheng 
自治权	zi zhi quan 
诉讼请求	su song qing qiu 
发回	fa hui 
医疗保险	yi liao bao xian 
负担	fu dan 
医疗	yi liao 
查封	cha feng 
扣押	kou ya 
物品	wu pin 
聋哑人	long ya ren 
翻译	fan yi 
纠纷	jiu fen 
强调	qiang diao 
注意	zhu yi 
统治	tong zhi 
时期	shi qi 
再审	zai shen 
拘束力	ju shu li 
情节严重	qing jie yan zhong 
放纵	fang zong 
走私	zou si 
应向	ying xiang 
出版者	chu ban zhe 
删节	shan jie 
图书	tu shu 
文字	wen zi 
作品	zuo pin 
损失	sun shi 
保险	bao xian 
全部	quan bu 
专利权人	zhuan li quan ren 
专利申请	zhuan li shen qing 
扩大	kuo da 
规模	gui mo 
表决权	biao jue quan 
教唆	jiao suo 
法定年龄	fa ding nian ling 
达到	da dao 
复议	fu yi 
收到	shou dao 
民商事	min shang shi 
调取	diao qu 
调查取证	diao cha qu zheng 
国际性	guo ji xing 
来自	lai zi 
代理权	dai li quan 
意图	yi tu 
营业	ying ye 
爱国者	ai guo zhe 
拥护	yong hu 
建设者	jian she zhe 
征用	zheng yong 
下应	xia ying 
领馆	ling guan 
馆舍	guan she 
免受	mian shou 
确有	que you 
集体合同	ji ti he tong 
代销	dai xiao 
发行人	fa xing ren 
支票	zhi piao 
金额	jin e 
付款人	fu kuan ren 
实有	shi you 
付款	fu kuan 
存款	cun kuan 
对立	dui li 
承保	cheng bao 
违约	wei yue 
担保	dan bao 
物质文明	wu zhi wen ming 
领海	ling hai 
捕鱼	bu yu 
创立	chuang li 
无溯	wu su 
公务人员	gong wu ren yuan 
豁免权	huo mian quan 
论述	lun shu 
时候	shi hou 
扣缴	kou jiao 
滞纳金	zhi na jin 
补缴	bu jiao 
义务人	yi wu ren 
加收	jia shou 
普遍性	pu bian xing 
质询	zhi xun 
答复	da fu 
签署	qian shu 
主席团	zhu xi tuan 
召集	zhao ji 
大会	da hui 
中心	zhong xin 
建立	jian li 
管理机构	guan li ji gou 
查处	cha chu 
公路	gong lu 
铁路	tie lu 
联合	lian he 
大陆	da lu 
就餐	jiu can 
住宿	zhu su 
补助	bu zhu 
交通	jiao tong 
用人单位	yong ren dan wei 
特征	te zheng 
工商行政	gong shang hang zheng 
买方	mai fang 
改为	gai wei 
外国法	wai guo fa 
缺位	que wei 
委员长	wei yuan zhang 
立遗嘱	li yi zhu 
居间人	ju jian ren 
委托人	wei tuo ren 
居间	ju jian 
促成	cu cheng 
财务会计	cai wu kuai ji 
记载	ji zai 
民主性	min zhu xing 
为民	wei min 
增强	zeng qiang 
检察长	jian cha zhang 
副检察长	fu jian cha zhang 
撤换	che huan 
委员	wei yuan 
建议	jian yi 
出租人	chu zu ren 
残值	can zhi 
租赁期	zu lin qi 
承租人	cheng zu ren 
装修	zhuang xiu 
剩余	sheng yu 
装饰	zhuang shi 
独任	du ren 
买卖合同	mai mai he tong 
提交	ti jiao 
法司	fa si 
原件	yuan jian 
复制件	fu zhi jian 
复制品	fu zhi pin 
相符	xiang fu 
外交官	wai jiao guan 
合理配置	he li pei zhi 
状态	zhuang tai 
得到	de dao 
除斥	chu chi 
侵害	qin hai 
知道	zhi dao 
职务	zhi wu 
担任	dan ren 
主持	zhu chi 
有限公司	you xian gong si 
股份	gu fen 
专指	zhuan zhi 
告示	gao shi 
长官	zhang guan 
官吏	guan li 
发布	fa bu 
方可	fang ke 
定金	ding jin 
标的额	biao di e 
支持	zhi chi 
常务会议	chang wu hui yi 
起草	qi cao 
从重	cong zhong 
理解	li jie 
国际公约	guo ji gong yue 
装运港	zhuang yun gang 
船舷	chuan xian 
挪用公款	nuo yong gong kuan 
潜逃	qian tao 
公款	gong kuan 
挪用	nuo yong 
携带	xie dai 
加重	jia zhong 
拐卖妇女	guai mai fu nv 
奸淫	jian yin 
身份证件	shen fen zheng jian 
出示	chu shi 
交易	jiao yi 
议案	yi an 
观点	guan dian 
学生	xue sheng 
改法	gai fa 
继承	ji cheng 
单行	dan xing 
自治	zi zhi 
惯例	guan li 
鉴定人	jian ding ren 
指派	zhi pai 
鉴定	jian ding 
资本主义	zi ben zhu yi 
用语	yong yu 
垄断	long duan 
时代	shi dai 
法家	fa jia 
角度看	jiao du kan 
人物	ren wu 
复核	fu he 
大诰	da gao 
兴业	xing ye 
贷款	dai kuan 
厂房	chang fang 
归还	gui huan 
客观性	ke guan xing 
合法性	he fa xing 
保险费	bao xian fei 
货价	huo jia 
价格	jia ge 
留置	liu zhi 
意外事件	yi wai shi jian 
国国民	guo guo min 
要件	yao jian 
首要分子	shou yao fen zi 
修律	xiu lv 
坚行	jian xing 
率行	lv xing 
纲常	gang chang 
标榜	biao bang 
学说	xue shuo 
吸引	xi yin 
相适应	xiang shi ying 
主任委员	zhu ren wei yuan 
任命	ren ming 
职权	zhi quan 
质量标准	zhi liang biao zhun 
环境	huan jing 
主管部门	zhu guan bu men 
项目	xiang mu 
安排	an pai 
债务人	zhai wu ren 
发出	fa chu 
主体资格	zhu ti zi ge 
丧失	sang shi 
形态	xing tai 
物质	wu zhi 
扰乱	rao luan 
电信	dian xin 
市场	shi chang 
主管机关	zhu guan ji guan 
检察官	jian cha guan 
出台	chu tai 
中国籍	zhong guo ji 
刑事诉讼法	xing shi su song fa 
作证	zuo zheng 
海运	hai yun 
提取	ti qu 
专政	zhuan zheng 
知识产权	zhi shi chan quan 
服刑	fu xing 
捕获	bu huo 
罪犯	zui fan 
正犯	zheng fan 
犯罪行为	fan zui xing wei 
年龄	nian ling 
有责	you ze 
表达	biao da 
依靠	yi kao 
地级市	di ji shi 
退伙	tui huo 
入伙	ru huo 
调解书	tiao jie shu 
稳定性	wen ding xing 
确保	que bao 
保持	bao chi 
队伍	dui wu 
处分权	chu fen quan 
上看	shang kan 
刊印	kan yin 
协会	xie hui 
团体	tuan ti 
视听资料	shi ting zi liao 
书证	shu zheng 
物证	wu zheng 
取回	qu hui 
习惯	xi guan 
客票	ke piao 
客运	ke yun 
