words	word
支柱	zhizhu
景物	jingwu
摔下去	shuaixiaqu
用具	yongju
上爬	shangpa
跟随	gensui
毕业	biye
力量	liliang
空间	kongjian
学期	xueqi
一隅	yiyu
叔叔	shushu
打什球	dashenqiu
打球	daqiu
天兵	tianbing
柜子	guizi
靠近	kaojin
答案	daan
铁柜	tiegui
制铁	zhitie
装饰品	zhuangshipin
发泄	faxie
打造	dazao
家人	jiaren
工厂	gongchang
对象	duixiang
打闹	danao
嬉笑	xixiao
教诲	jiaohui
师长	shichang
熟悉	shuxi
咖啡色	kafeise
剪下	jianxia
新衣	xinyi
洋溢	yangyi
朝气	zhaoqi
向日葵	xiangrikui
残破	canpo
外表	waibiao
纸球	zhiqiu
精彩	jingcai
强打者	qiangdazhe
三振	sanzhen
全垒打	quanleida
全班	quanban
大赛	dasai
看似	kansi
涂鸦	tuya
时时	shishi
变质	bianzhi
情感	qinggan
身影	shenying
走向	zouxiang
上头	shangtou
传达	chuanda
记录	jilu
公布栏	gongbulan
自班	ziban
乱搞	luangao
名次	mingci
上课	shangke
抄著	chaozhu
联络簿	lianluobu
缺交	quejiao
不完	buwan
踏进	tajin
教科书	jiaokeshu
下课时	xiakeshi
违禁品	weijinpin
漫画书	manhuashu
人会	renhui
生教	shengjiao
训导处	xundaochu
排球	paiqiu
抓到	zhuadao
保管	baoguan
看一看	kanyikan
停下	tingxia
脚步	jiaobu
姐用	jieyong
工友	gongyou
桌椅	zhuoyi
进来	jinlai
没擦	meica
上贴	shangtie
奖牌	jiangpai
闹声	naosheng
留念	liunian
值得	zhide
知己	zhiji
椅子	yizi
了解	lejie
等著	dengzhu
书包	shubao
抛开	paokai
翻阅	fanyue
杂乱	zaluan
沉浸	chenjin
存放	cunfang
仓库	cangku
座位	zuowei
小孩子	xiaohaizi
绽放	zhanfang
学会	xuehui
心情	xinqing
消失	xiaoshi
听到	tingdao
说话	shuohua
难忘	nanwang
带给	daigei
往事	wangshi
安定	anding
想起	xiangqi
监狱	jianyu
看法	kanfa
战场	zhanchang
教课	jiaoke
打战	dazhan
急著	jizhu
还有	huanyou
讲桌	jiangzhuo
风扇	fengshan
叫醒	jiaoxing
画面	huamian
显现	xianxian
出门	chumen
上乱	shangluan
离开	likai
带来	dailai
唤起	huanqi
不可	buke
游乐场	youlechang
把玩	bawan
门窗	menchuang
身为	shenwei
欣赏	xinshang
演出	yanchu
不起	buqi
音阶	yinjie
练习	lianxi
脏乱	zangluan
打扫	dasao
重要性	zhongyaoxing
没人	meiren
继续	jixu
糟蹋	zaota
班柜	bangui
沥血	lixie
奖杯	jiangbei
才艺	caiyi
传球	chuanqiu
恶心	exin
全体	quanti
传来	chuanlai
表演	biaoyan
启示	qishi
评断	pingduan
主观	zhuguan
细节	xijie
立场	lichang
客观	keguan
处所	chusuo
舍不得	shebude
股长	guchang
扫具	saoju
小朋友	xiaopengyou
遭殃	zaoyang
迟到	chidao
逗留	douliu
早餐	zaocan
导师	daoshi
用心	yongxin
成绩	chengji
环境	huanjing
排挤	paiji
维护	weihu
课间	kejian
纸屑	zhixie
注意事项	zhuyishixiang
醒目	xingmu
散落	sanluo
八卦	bagua
课桌椅	kezhuoyi
了令	leling
感想	ganxiang
印象	yinxiang
引发	yinfa
闹区	naoqu
走道	zoudao
绿油油	lvyouyou
草坪	caoping
噪音	zaoyin
挥挥手	huihuishou
猫缆	maolan
坐著	zuozhu
乘著	chengzhu
看遍	kanbian
地球村	diqiucun
走遍	zoubian
探险家	tanxianjia
风景	fengjing
充满著	chongmanzhu
有伤	youshang
地图	ditu
需靠	xukao
面貌	mianmao
无比	wubi
众人	zhongren
维持	weichi
书柜	shugui
超乱	chaoluan
扫地	saodi
想像	xiangxiang
回收	huishou
打断	daduan
拿著	nazhu
新班	xinban
瞎猜	xiacai
粉笔	fenbi
笔记	biji
卡通人物	qiatongrenwu
整片	zhengpian
照理	zhaoli
卸妆	xiezhuang
深绿色	shenlvse
雨伞	yusan
面有	mianyou
夜景	yejing
上课时	shangkeshi
纸条	zhitiao
追逐	zhuizhu
回味	huiwei
见到	jiandao
享受	xiangshou
走到	zoudao
具处	juchu
哀号	aihao
压死	yasi
书本	shuben
拔腿就跑	batuijiupao
野兽	yeshou
力气	liqi
吸引	xiyin
好像	haoxiang
百货公司	baihuogongsi
显眼	xianyan
单调	dandiao
直立	zhili
忽视	hushi
包装	baozhuang
像是	xiangshi
改成	gaicheng
猫空	maokong
缆车	lanche
民权	minquan
下学期	xiaxueqi
缆绳	lansheng
楼顶	louding
美景	meijing
破烂	polan
车厢	chexiang
升学	shengxue
知书达理	zhishudali
足以	zuyi
知识	zhishi
压力	yali
读书声	dushusheng
欢笑	huanxiao
回荡	huidang
存在	cunzai
聊到	liaodao
谈心	tanxin
游戏	youxi
流眼泪	liuyanlei
火花	huohua
不合	buhe
谈到	tandao
意见	yijian
玩闹	wannao
学到	xuedao
放空	fangkong
洗涤	xidi
放松	fangsong
抽烟	chouyan
害人	hairen
机能	jineng
身体	shenti
造成	zaocheng
下降	xiajiang
纸类	zhilei
瓶罐	pingguan
贪图	tantu
喝完	hewan
箱子	xiangzi
饮料	yinliao
举动	judong
桌面上	zhuomianshang
刮痕	guahen
用立	yongli
可白	kebai
上写	shangxie
努力下去	nulixiaqu
团队精神	tuanduijingshen
得来	delai
来讲	laijiang
作品	zuopin
仔细观察	zixiguancha
走廊	zoulang
资源	ziyuan
抛到	paodao
作业	zuoye
用来	yonglai
全部	quanbu
午睡	wushui
罚抄	fachao
功用	gongyong
号码	haoma
名单	mingdan
水果皮	shuiguopi
司空见惯	sikongjianguan
调皮	diaopi
扮演	banyan
角色	jiaose
金钱	jinqian
抽屉	chouti
浪费	langfei
拿出	nachu
投影机	touyingji
布幕	bumu
通知单	tongzhidan
时钟	shizhong
专栏	zhuanlan
算命	suanming
好用	haoyong
布置	buzhi
找肯	zhaoken
跑腿	paotui
帮忙	bangmang
做到	zuodao
材料	cailiao
班级	banji
看看	kankan
给予	geiyu
点滴	diandi
安心	anxin
分享	fenxiang
延续	yanxu
保持	baochi
猜猜看	caicaikan
垃圾场	lajichang
好气	haoqi
好笑	haoxiao
弄坏	nonghuai
人玩	renwan
嘲笑	chaoxiao
大叫	dajiao
奇脏	qizang
碎片	suipian
手电筒	shoudiantong
电池	dianchi
玻璃	boli
喜雀	xique
配上	peishang
挥舞	huiwu
眼镜	yanjing
翅膀	chibang
望见	wangjian
夫妇	fufu
蚂蚁	mayi
碎屑	suixie
搬运	banyun
食物	shiwu
夹子	jiazi
水桶	shuitong
本班	benban
留言	liuyan
成品	chengpin
标志	biaozhi
盯著	dingzhu
画著	huazhu
线条	xiantiao
少年人	shaonianren
个性	gexing
加上	jiashang
表现	biaoxian
吵杂	chaoza
下课时间	xiakeshijian
嬉闹	xinao
讲课	jiangke
保证	baozheng
琳瑯满目	linlangmanmu
桌面	zhuomian
触动	chudong
褐色	hese
肌肤	jifu
纤维	xianwei
看不懂	kanbudong
姿势	zishi
姿态	zitai
休息	xiuxi
垃圾筒	lajitong
好帮手	haobangshou
卫生纸	weishengzhi
当成	dangcheng
处理	chuli
握手	woshou
任性	renxing
打死	dasi
可见	kejian
不肯	buken
巨作	juzuo
签下	qianxia
名画	minghua
上画	shanghua
不像	buxiang
意义	yiyi
交流	jiaoliu
呼吸	huxi
走动	zoudong
人群	renqun
烧印	shaoyin
带著	daizhu
织女	zhinv
呼呼	huhu
孕育	yunyu
思念	sinian
传到	chuandao
故事	gushi
纸团	zhituan
纠在	jiuzai
道别	daobie
天数	tianshu
后悔	houhui
距离	juli
翱翔天际	aoxiangtianji
友情	youqing
奔走	benzou
用著	yongzhu
婵娟	chanjuan
圆润	yuanrun
抚慰	fuwei
脸颊	lianjia
潮流	chaoliu
姐姐	jiejie
吹进来	chuijinlai
拉紧	lajin
外套	waitao
取暖	qunuan
起床	qichuang
被子	beizi
感冒	ganmao
止不住	zhibuzhu
带团	daituan
倒楣	daomei
游览车	youlanche
导游	daoyou
想念	xiangnian
受伤	shoushang
丧失	sangshi
可怜	kelian
砥砺	dili
原地	yuandi
季里	jili
诉说	sushuo
歌舞	gewu
心目	xinmu
引起	yinqi
物品	wupin
随著	suizhu
木头	mutou
刮伤	guashang
用铁	yongtie
桌脚	zhuojiao
小时	xiaoshi
上少	shangshao
工具	gongju
香菇	xianggu
图片	tupian
暮阳	muyang
鸟鸣	niaoming
婉转	wanzhuan
枝叶	zhiye
修理	xiuli
音浪	yinlang
偷听	touting
排开	paikai
浮力	fuli
抒发	shufa
所受	suoshou
体积	tiji
等于	dengyu
爱惜	aixi
公物	gongwu
很漂亮	henpiaoliang
注意	zhuyi
擦掉	cadiao
抹布	mobu
看上去	kanshangqu
满意	manyi
结果	jieguo
菜市场	caishichang
专属	zhuanshu
位子	weizi
响起	xiangqi
原本	yuanben
磺在	huangzai
小游戏	xiaoyouxi
画格	huage
圈叉	quancha
复制	fuzhi
光阴	guangyin
看不到	kanbudao
换新	huanxin
潮水	chaoshui
涌出	yongchu
记忆	jiyi
时儿	shier
走著	zouzhu
窗台	chuangtai
树梢	shushao
电灯	diandeng
猎人	lieren
麻雀	maque
闪电	shandian
磨菇	mogu
虚幻	xuhuan
犹如	youru
幻想	huanxiang
愤怒	fennu
放著	fangzhu
亮眼	liangyan
抬头	taitou
班会	banhui
学艺股长	xueyiguchang
撕得	side
学术	xueshu
忙著	mangzhu
评分	pingfen
想来	xianglai
打算	dasuan
参加	canjia
出自	chuzi
得名	deming
期待	qidai
妈妈	mama
关心	guanxin
四射	sishe
至极	zhiji
臭味	chouwei
观念	guannian
分类	fenlei
中饭	zhongfan
睡午觉	shuiwujue
画图	huatu
莫名	moming
依赖	yilai
位置	weizhi
照不到	zhaobudao
老高	laogao
灯光	dengguang
地带	didai
黑色	heise
铁栏杆	tielangan
望著	wangzhu
坐落于	zuoluoyu
发呆	fadai
争吵	zhengchao
哭泣	kuqi
培养	peiyang
人生旅途	renshenglvtu
瞭如	liaoru
指掌	zhizhang
进出	jinchu
上学	shangxue
可惜	kexi
盼望	panwang
期望	qiwang
扶持	fuchi
回来	huilai
老师上课	laoshishangke
插画	chahua
要用	yaoyong
好事	haoshi
手绘	shouhui
国旗	guoqi
人贴	rentie
创意	chuangyi
走进	zoujin
开著	kaizhu
寒流	hanliu
笼子	longzi
未交	weijiao
粒屎	lishi
恶作剧	ezuoju
绰号	chuohao
包容	baorong
归属感	guishugan
飞去	feiqu
接纳	jiena
缺点	quedian
乱画	luanhua
锯下来	juxialai
爱护	aihu
破坏	pohuai
是从	shicong
所待	suodai
同侪	tongchai
地盘	dipan
照顾	zhaogu
污点	wudian
留下	liuxia
照进来	zhaojinlai
缝隙	fengxi
读书	dushu
公园	gongyuan
握著	wozhu
撒落	saluo
木椅	muyi
老奶奶	laonainai
映出	yingchu
玩耍	wanshua
金色	jinse
关不紧	guanbujin
懒得	lande
不堪	bukan
寿命	shouming
开门	kaimen
降低	jiangdi
导致	daozhi
抄下	chaoxia
闲暇	xianxia
洗不掉	xibudiao
吊著	diaozhu
桌角	zhuojiao
坑洞	kengdong
椅背	yibei
天花板	tianhuaban
总能	zongneng
看起来	kanqilai
场所	changsuo
吸收	xishou
缺少美	queshaomei
含义	hanyi
缺少	queshao
房间	fangjian
搬家	banjia
不了	bule
伴侣	banlv
风采	fengcai
喜爱	xiai
种下	zhongxia
弟妹	dimei
包括	baokuo
听课	tingke
教学	jiaoxue
上开	shangkai
铝箔	lvbo
果蝇	guoying
派对	paidui
瓶子	pingzi
实在	shizai
放置	fangzhi
怀念	huainian
需要	xuyao
看景	kanjing
倒映	daoying
俯视	fushi
歇息	xiexi
无趣	wuqu
心神	xinshen
凝聚	ningju
专注	zhuanzhu
专用	zhuanyong
瞳铃	tongling
下课铃	xiakeling
流窜	liucuan
魔力	moli
耳畔	erpan
唤醒	huanxing
活力	huoli
血液	xieye
注入	zhuru
玩乐	wanle
乐器	leqi
垃圾袋	lajidai
垃圾车	lajiche
音调	yindiao
绑架	bangjia
时会	shihui
异形	yixing
起降	qijiang
飞机	feiji
称为	chengwei
秘籍	miji
抢眼	qiangyan
声响	shengxiang
上所	shangsuo
所得	suode
事项	shixiang
相关	xiangguan
篮板	lanban
篮球	lanqiu
可知	kezhi
控球	kongqiu
生疏	shengshu
陪伴	peiban
归来	guilai
趴下	paxia
回想	huixiang
岗位	gangwei
外地	waidi
坚守	jianshou
日子	rizi
踩破	caipo
震到	zhendao
尖叫声	jianjiaosheng
吓死	xiasi
吵闹	chaonao
听力	tingli
受损	shousun
忍著	renzhu
小动作	xiaodongzuo
弄成	nongcheng
水滴	shuidi
图案	tuan
学姐	xuejie
剪贴	jiantie
爱看	aikan
炒饭	chaofan
舞台剧	wutaiju
米饭	mifan
句子	juzi
深思	shensi
有没有	youmeiyou
权利	quanli
所有物	suoyouwu
善待	shandai
校园	xiaoyuan
国家	guojia
笑著	xiaozhu
装满	zhuangman
茶杯	chabei
喝茶	hecha
想法	xiangfa
读著	duzhu
好书	haoshu
品质	pinzhi
证明	zhengming
嬉戏	xixi
交到	jiaodao
交谈	jiaotan
对话	duihua
体认	tiren
离合	lihe
填满	tianman
人情	renqing
处处	chuchu
说不出	shuobuchu
接触	jiechu
考试卷	kaoshijuan
对著	duizhu
摆著	baizhu
傻笑	shaxiao
想想	xiangxiang
存留	cunliu
装饰	zhuangshi
寻找	xunzhao
回到	huidao
遗忘	yiwang
看得见	kandejian
埋没	maimei
用处	yongchu
应有	yingyou
小天地	xiaotiandi
小窝	xiaowo
弄乱	nongluan
坐到	zuodao
我会	wohui
回头	huitou
表面	biaomian
主人	zhuren
再见	zaijian
意思	yisi
失物	shiwu
待领	dailing
外堂	waitang
交回	jiaohui
作业本	zuoyeben
贵重物品	guizhongwupin
开锁	kaisuo
挂著	guazhu
所该	suogai
回溯	huisu
叮咛	dingning
时光	shiguang
把握	bawo
云朵	yunduo
鸟儿	niaoer
汗水	hanshui
开花	kaihua
落下	luoxia
极限运动	jixianyundong
公车站	gongchezhan
滑板	huaban
游民	youmin
脚踏车	jiaotache
舞者	wuzhe
穿梭	chuansuo
玩家	wanjia
放书	fangshu
安慰	anwei
原因	yuanyin
获得	huode
数位	shuwei
授课	shouke
浮现	fuxian
回顾	huigu
影片	yingpian
保留	baoliu
一格	yige
变强	bianqiang
棋子	qizi
棋盘	qipan
地板	diban
对手	duishou
没扫	meisao
脚印	jiaoyin
打扮	daban
决定	jueding
区域	quyu
玩完	wanwan
战争	zhanzheng
型态	xingtai
伤心	shangxin
玩具	wanju
情愿	qingyuan
拿来	nalai
时身	shishen
秩序	zhixu
怨言	yuanyan
厌恶	yane
责任	zeren
使用	shiyong
作画	zuohua
回馈	huikui
计较	jijiao
贡献	gongxian
有所	yousuo
伙伴	huoban
书库	shuku
感人	ganren
上学时	shangxueshi
回答	huida
国字	guozi
音符	yinfu
图腾	tuteng
搭配	dapei
颜色	yanse
数字	shuzi
衣服	yifu
报到	baodao
没错	meicuo
凹陷	aoxian
脑子里	naozili
徘徊	paihuai
修复	xiufu
教会	jiaohui
摆设	baishe
白板	baiban
特色	tese
物体	wuti
任何事物	renheshiwu
身子	shenzi
告诉	gaosu
空格	kongge
怒骂	numa
品行	pinxing
摆放	baifang
领悟	lingwu
领略	linglve
尊敬	zunjing
低下	dixia
后果	houguo
欺负	qifu
忍受	renshou
奇怪	qiguai
俱备	jubei
灯塔	dengta
交响曲	jiaoxiangqu
身躯	shenqu
重回	zhonghui
灭迹	mieji
课业	keye
重漆	zhongqi
同班	tongban
烙印	luoyin
打拼	dapin
大水	dashui
抱怨	baoyuan
想到	xiangdao
放在	fangzai
搞不好	gaobuhao
连续剧	lianxuju
讲台	jiangtai
有用	youyong
目光	muguang
做好	zuohao
不想	buxiang
钟响	zhongxiang
玩分	wanfen
双方	shuangfang
派系	paixi
爱玩	aiwan
乱写	luanxie
堆满	duiman
角落里	jiaoluoli
后头	houtou
痕迹	henji
流到	liudao
开学	kaixue
口水	koushui
结为	jiewei
趴在	pazai
陌生	mosheng
追打	zhuida
爆满	baoman
后门	houmen
割到	gedao
重贴	zhongtie
扯到	chedao
海报	haibao
篇文章	pianwenzhang
差太	chatai
比起	biqi
冲出去	chongchuqu
捡起	jianqi
践踏	jianta
装作	zhuangzuo
明知	mingzhi
兴奋	xingfen
探索	tansuo
余地	yudi
刷刷牙	shuashuaya
口香糖	kouxiangtang
鼻涕	biti
嘴巴	zuiba
每枝	meizhi
异国	yiguo
画笔	huabi
做为	zuowei
风情	fengqing
历程	licheng
画家	huajia
得出	dechu
幼稚园	youzhiyuan
补习班	buxiban
求学	qiuxue
中学	zhongxue
下棋	xiaqi
打架	dajia
过动	guodong
血气方刚	xieqifanggang
免不了	mianbule
秀才	xiucai
夸奖	kuajiang
发言	fayan
优点	youdian
采用	caiyong
早自习	zaozixi
温存	wencun
铺盖	pugai
扫除	saochu
看书	kanshu
等候	denghou
穿著	chuanzhu
公用	gongyong
脑海	naohai
生科	shengke
咒骂	zhouma
便成	biancheng
拥护者	yonghuzhe
勾起	gouqi
开口	kaikou
跑跳	paotiao
保密	baomi
心事	xinshi
教书	jiaoshu
整间	zhengjian
排得	paide
进去	jinqu
出气筒	chuqitong
考试成绩	kaoshichengji
抄写	chaoxie
辱骂	ruma
度过	duguo
伴随	bansui
有点	youdian
私底下	sidixia
人情味	renqingwei
帮助	bangzhu
教授	jiaoshou
插曲	chaqu
玩笑	wanxiao
时分	shifen
动作	dongzuo
书桌	shuzhuo
巨子	juzi
赔钱	peiqian
公分	gongfen
小猪	xiaozhu
幻灯片	huandengpian
轶事	yishi
年少	nianshao
品味	pinwei
寄托	jituo
叫累	jiaolei
极品	jipin
器材	qicai
留给	liugei
听著	tingzhu
解放	jiefang
代表	daibiao
上停	shangting
好客	haoke
人缘	renyuan
特质	tezhi
花瓣	huaban
昆虫	kunchong
象征	xiangzheng
板擦	banca
赏画	shanghua
扫帚	saozhou
风流	fengliu
顾虑	gulv
艺术家	yishujia
防范	fangfan
异味	yiwei
用到	yongdao
叫做	jiaozuo
找寻	zhaoxun
电风扇	dianfengshan
喧闹	xuannao
底纸	dizhi
贴满	tieman
边框	biankuang
深蓝色	shenlanse
纸张	zhizhang
排成	paicheng
拼下	pinxia
厨余桶	chuyutong
蛤蜊	hali
催缴	cuijiao
花点	huadian
鱼骨	yugu
战绩	zhanji
走近	zoujin
须要	xuyao
写字	xiezi
生涯	shengya
赶进	ganjin
全校	quanxiao
电视	dianshi
公告栏	gonggaolan
接力	jieli
大队	dadui
停留	tingliu
幼苗	youmiao
传授	chuanshou
产生	chansheng
感动	gandong
牺牲	xisheng
就让	jiurang
班用	banyong
班费	banfei
放到	fangdao
做错	zuocuo
野猪	yezhu
小孩	xiaohai
草原	caoyuan
特征	tezheng
班导	bandao
划破	huapo
天际	tianji
发疯	fafeng
人手	renshou
兵团	bingtuan
影子	yingzi
主义者	zhuyizhe
废物	feiwu
进取	jinqu
手脚	shoujiao
整理	zhengli
暗藏	ancang
苦心人	kuxinren
评比	pingbi
皇天	huangtian
